제목,기사 내용,타임스탬프
"SK쉴더스-HDC현대산업개발, 아파트 통합 보안 시스템 구축 협력","[출처: SK쉴더스 제공]

SK쉴더스와 HDC현대산업개발이 아이파크 아파트 단지 내 통합 보안 시스템 구축을 위해 협력한다.

이번 협력은 주거 침입 범죄와 스마트홈 해킹 등 주거지로 확산되는 온∙오프라인 보안 위협에 대응하여 안전한 생활 환경을 조성하기 위해 마련됐다. 개별 세대와 단지 전체를 아우르는 맞춤형 보안 서비스의 개발과 이를 입주민용 스마트홈 서비스에 연동하는 보안 체계 구축을 목표로 한다.

이를 위해 양 사는 아이파크 아파트의 시공 단계부터 정보 보안, 물리 보안, 개인 홈 보안을 아우르는 선제적 통합 보안 시스템을 도입할 예정이다.

먼저, SK쉴더스는 아이파크 단지의 스마트홈 시스템에 정보 보안 구독 서비스 '사이버가드'를 적용한다. 사이버가드는 클라우드 기반의 네트워크 접근 통제(NAC)를 포함한 다양한 보안 기능을 제공하여 월패드 해킹 등 아파트를 겨냥한 사이버 공격을 사전에 차단할 수 있다.

ADT캡스의 무인 경비 서비스로 치안 역량 강화에도 나선다. 단지 곳곳에 설치된 SOS 비상벨과 화재 감지기가 긴급 상황을 알리면 ADT캡스 대원이 직접 출동하거나 119 화재 신고를 신속히 지원하여 입주민의 안전을 지킨다. AI CCTV가 탑재된 자율주행 순찰 로봇도 도입하여 단지 내 보안 사각지대를 24시간 관제해 나갈 예정이다.

이 밖에도 아이파크 입주민 전용 홈페이지를 통해 홈 보안 솔루션 '캡스홈'을 포함한 각종 보안 상품을 특별 할인가로 제공한다. 특히 캡스홈을 설치한 가구는 AI CCTV를 통해 현관문 앞 상황을 실시간 확인하거나 가족 이외의 낯선 배회자가 탐지될 경우 알림 메시지를 즉시 받을 수 있다.

양 사는 현행법상 아파트 관리 주체가 시공사에서 입주민 대표 위원회로 전환되는 시점에 시공 단계부터 구축한 통합 보안 시스템의 대부분을 무상 증여할 예정이다. 또한 아이파크 분양 시 캡스홈 서비스를 기본 옵션으로 탑재하는 등 사업 협력 범위를 지속 확대하여 안전한 주거보안의 표준을 만들어 나갈 계획이다.

SK쉴더스 관계자는 ""이번 업무협약은 국내 대표 주거 형태인 아파트 단지의 특성에 맞춰 시공 단계부터 온∙오프라인 통합 보안 체계를 선도적으로 구축한다는 점에서 의미가 크다. 향후 아파트뿐만 아니라 다양한 주거 형태에 맞춘 혁신적인 서비스 개발로 고객과 사회의 안전에 기여해 나가겠다""고 밝혔다.

저작권자 © CCTV뉴스 무단전재 및 재배포 금지",2024-03-30 01:09:46
"[위클리오늘] SK쉴더스-HDC현대산업개발, 아파트 통합 보안 시스템 구축","[위클리오늘=신유림 기자] SK쉴더스가 HDC현대산업개발과 아이파크 단지 내 통합 보안 시스템 구축을 위해 협력한다.

27일 SK쉴더스에 따르면 이번 협력은 주거침입 범죄와 스마트홈 해킹 등 온·오프라인 보안 위협에 대응해 안전한 생활환경을 조성하기 위함이다. 맞춤형 보안 서비스 개발과 이를 입주민용 스마트홈 서비스에 연동하는 보안 체계 구축을 목표로 한다.

양사는 아이파크 아파트의 시공 단계부터 정보보안, 물리보안, 개인 홈 보안을 아우르는 선제적 통합 보안 시스템을 도입한다.

SK쉴더스는 아이파크 단지의 스마트홈 시스템에 정보보안 구독 서비스 ‘사이버가드’를 적용한다. 사이버가드는 클라우드 기반의 네트워크접근통제(NAC)를 포함한 다양한 보안 기능을 제공, 월패드 해킹 등 아파트를 겨냥한 사이버 공격을 사전 차단할 수 있다.

물리보안 대표 브랜드인 ‘ADT캡스’의 무인경비 서비스로 치안 역량도 강화한다. 단지 곳곳에 설치된 SOS 비상벨과 화재 감지기가 긴급 상황을 알리면, ADT캡스 대원이 출동하거나 119 화재 신고를 지원한다. 또 AI CCTV가 탑재된 자율주행 순찰로봇을 도입해 단지 내 보안 사각지대를 24시간 관제한다.

이 밖에도 입주민 전용 홈페이지를 통해 홈 보안 솔루션 ‘캡스홈’을 포함한 각종 보안 상품을 특별 할인가로 제공한다. 캡스홈 설치 가구는 AI CCTV를 통해 현관문 앞 상황을 실시간 확인하거나 낯선 사람이 탐지될 경우 알림 메시지를 받을 수 있다.

양사는 현행법상 아파트 관리 주체가 시공사에서 입주민 대표 위원회로 전환되는 시점에 시공 단계부터 구축한 통합 보안 시스템의 대부분을 무상 증여할 예정이다.

또한 아이파크 분양 시 캡스홈 서비스를 기본 옵션으로 탑재하는 등 사업 협력 범위를 지속 확대해 안전한 주거보안의 표준을 만들어 나갈 계획이다.

SK쉴더스 관계자는 “이번 업무협약은 국내 대표 주거형태인 아파트 단지의 특성에 맞춰 시공 단계부터 온·오프라인 통합 보안 체계를 선도적으로 구축한다는 점에서 의미가 크다”며 “향후 아파트뿐만 아니라 다양한 주거형태에 맞춘 혁신적인 서비스 개발로 고객과 사회의 안전에 기여해 나가겠다”고 밝혔다.",2024-03-30 01:09:47
"SK쉴더스, HDC현산과 아파트 보안 시스템 구축 맞손","맞춤형 보안 서비스 개발 공동 협력

정보·물리·홈보안 통합 보안 시스템

자율주행 AI 순찰로봇 등 도입 예정

사진 확대

SK쉴더스(대표 홍원표)가 HDC현대산업개발과 아이파크 단지 내 통합 보안 시스템 구축을 위한 협력에 나선다고 27일 밝혔다.

이번 협력은 주거침입 범죄와 스마트홈 해킹 등 주거지로 확산되는 온·오프라인 보안 위협에 대응해 안전한 생활 환경을 조성하기 위해 마련됐다. 개별 세대와 단지 전체를 아우르는 맞춤형 보안 서비스 개발과 이를 입주민용 스마트홈 서비스에 연동하는 보안 체계 구축을 목표로 한다.

이를 위해 양사는 아이파크 아파트의 시공 단계부터 정보보안, 물리보안, 개인 홈보안을 아우르는 선제적 통합 보안 시스템을 도입할 예정이다.

먼저 SK쉴더스는 아이파크 단지의 스마트홈 시스템에 정보보안 구독 서비스 ‘사이버가드’를 적용한다. 사이버가드는 클라우드 기반의 네트워크 접근 통제(NAC)를 포함한 다양한 보안 기능을 제공해 월패드 해킹 같은 아파트를 겨냥한 사이버 공격을 사전에 차단할 수 있다.

물리보안 대표 브랜드인 ‘ADT캡스’의 무인경비 서비스로 치안 역량 강화에도 나선다. 단지 곳곳에 설치된 SOS 비상벨과 화재 감지기가 긴급 상황을 알리면, ADT캡스 대원이 직접 출동하거나 119 화재 신고를 신속히 지원해 입주민 안전을 지킨다. 또 인공지능(AI) CCTV가 탑재된 자율주행 순찰로봇을 도입해 단지 내 보안 사각지대를 24시간 관제해 나갈 예정이다.

이 밖에도 아이파크 입주민 전용 홈페이지를 통해 홈보안 솔루션 ‘캡스홈’을 포함한 각종 보안상품을 특별 할인가로 제공한다. 특히 캡스홈을 설치한 가구는 AI CCTV를 통해 현관문 앞 상황을 실시간 확인하거나, 가족 이외 낯선 배회자가 탐지될 경우 알림 메시지를 즉시 받을 수 있다.

양사는 현행법상 아파트 관리 주체가 시공사에서 입주민대표위원회로 전환되는 시점에, 시공 단계부터 구축한 통합 보안 시스템 대부분을 무상 증여할 예정이다. 또 아이파크 분양 시 캡스홈 서비스를 기본 옵션으로 탑재하는 등 사업협력 범위를 지속 확대해 안전한 주거보안 표준을 만들어 나갈 계획이다.

SK쉴더스 관계자는 “이번 업무협약은 국내 대표 주거형태인 아파트 단지의 특성에 맞춰 시공 단계부터 온·오프라인 통합 보안 체계를 선도적으로 구축한다는 점에서 의미가 크다”며 “향후 아파트뿐만 아니라 다양한 주거형태에 맞춘 혁신적인 서비스 개발로 고객과 사회 안전에 기여해 나갈 것”이라고 밝혔다.",2024-03-30 01:09:49
"SK쉴더스, 아이파크 단지에 통합 보안시스템","



[ 저작권자 ⓒ디지털타임스, 무단 전재 및 재배포 금지 ]

SK쉴더스가 HDC현대산업개발과 아이파크 단지 내 통합 보안시스템 구축에 협력한다.양사는 주거침입 범죄와 스마트홈 해킹 등 주거지로 확산되는 온·오프라인 보안 위협에 대응해 안전한 생활 환경을 조성한다는 계획이다. 개별 세대와 단지 전체를 아우르는 맞춤형 보안 서비스 개발과 이를 입주민용 스마트홈 서비스에 연동하는 보안 체계 구축을 목표로 한다.아이파크 아파트 시공 단계부터 정보보안, 물리보안, 개인 홈 보안을 아우르는 선제적 통합 보안 시스템을 도입할 예정이다.SK쉴더스는 아이파크 단지의 스마트홈 시스템에 정보보안 구독 서비스 '사이버가드'를 적용한다. 사이버가드는 클라우드 기반 NAC(네트워크접근통제)를 포함한 다양한 보안 기능을 제공해, 월패드 해킹 등 아파트를 겨냥한 사이버 공격을 차단할 수 있다.ADT캡스 무인경비 서비스로 치안도 강화한다. 단지 곳곳에 설치된 SOS 비상벨과 화재 감지기가 긴급 상황을 알리면, ADT캡스 대원이 직접 출동하거나 119 화재 신고를 신속히 지원해 입주민의 안전을 지킨다. 또 AI CCTV가 탑재된 자율주행 순찰로봇을 도입해 단지 내 보안 사각지대를 24시간 관제해 나갈 예정이다. 이 밖에 홈보안 솔루션 '캡스홈'을 포함한 각종 보안 상품을 특별 할인가로 제공한다. 캡스홈을 설치한 가구는 AI CCTV를 통해 현관문 앞 상황을 실시간 확인하거나, 가족 이외의 낯선 배회자가 탐지될 경우 알림 메시지를 즉시 받을 수 있다.양사는 현행법상 아파트 관리 주체가 시공사에서 입주민 대표 위원회로 전환될 때 시공 단계부터 구축한 통합 보안 시스템의 대부분을 무상 증여할 예정이다. 아이파크 분양 시 캡스홈 서비스도 기본 옵션으로 탑재하는 등 협력을 확대해 안전한 주거보안 표준을 만들 계획이다.SK쉴더스 관계자는 ""이번 업무협약은 국내 대표 주거형태인 아파트 단지의 특성에 맞춰 시공 단계부터 온·오프라인 통합 보안 체계를 선도적으로 구축한다는 점에서 의미가 크다""며 ""향후 아파트뿐만 아니라 다양한 주거형태에 맞춘 혁신적인 서비스 개발로 고객과 사회의 안전에 기여하겠다""고 밝혔다.김영욱기자 wook95@dt.co.kr",2024-03-30 01:09:51
"SK쉴더스, HDC현대산업개발과 아파트 통합 보안 시스템 구축","[아이뉴스24 박진영 기자] SK쉴더스는 HDC현대산업개발과 아이파크 단지 내 통합 보안 시스템 구축을 위한 협력에 나선다고 27일 밝혔다.

SK쉴더스 - HDC현대산업개발 CI [사진=SK쉴더스]

이번 협력은 주거침입 범죄와 스마트홈 해킹 등 주거지로 확산되는 온∙오프라인 보안 위협에 대응하여, 안전한 생활 환경을 조성하기 위해 마련됐다. 개별 세대와 단지 전체를 아우르는 맞춤형 보안 서비스의 개발과 이를 입주민용 스마트홈 서비스에 연동하는 보안 체계 구축을 목표로 한다.

이를 위해 양사는 아이파크 아파트의 시공 단계부터 정보보안, 물리보안, 개인 홈 보안을 아우르는 선제적 통합 보안 시스템을 도입할 예정이다.

SK쉴더스는 아이파크 단지의 스마트홈 시스템에 정보보안 구독 서비스 '사이버가드'를 적용한다. 사이버가드는 클라우드 기반의 네트워크접근통제(NAC)를 포함한 다양한 보안 기능을 제공하여, 월패드 해킹 등 아파트를 겨냥한 사이버 공격을 사전에 차단할 수 있다.

물리보안 대표 브랜드인 'ADT캡스'의 무인경비 서비스로 치안 역량 강화에도 나선다. 단지 곳곳에 설치된 SOS 비상벨과 화재 감지기가 긴급 상황을 알리면, ADT캡스 대원이 직접 출동하거나 119 화재 신고를 신속히 지원하여 입주민의 안전을 지킨다. 또한 AI CCTV가 탑재된 자율주행 순찰로봇을 도입하여 단지 내 보안 사각지대를 24시간 관제해 나갈 예정이다.

이 밖에도 아이파크 입주민 전용 홈페이지를 통해 홈 보안 솔루션 ‘캡스홈’을 포함한 각종 보안 상품을 특별 할인가로 제공한다. 특히 캡스홈을 설치한 가구는 AI CCTV를 통해 현관문 앞 상황을 실시간 확인하거나, 가족 이외의 낯선 배회자가 탐지될 경우 알림 메시지를 즉시 받을 수 있다.

양사는 현행법상 아파트 관리 주체가 시공사에서 입주민 대표 위원회로 전환되는 시점에, 시공 단계부터 구축한 통합 보안 시스템의 대부분을 무상 증여할 예정이다. 또한 아이파크 분양 시 캡스홈 서비스를 기본 옵션으로 탑재하는 등 사업 협력 범위를 지속 확대하여 안전한 주거보안의 표준을 만들어 나갈 계획이다.

SK쉴더스 관계자는 ""이번 업무협약은 국내 대표 주거형태인 아파트 단지의 특성에 맞춰 시공 단계부터 온∙오프라인 통합 보안 체계를 선도적으로 구축한다는 점에서 의미가 크다""면서 ""향후 아파트뿐만 아니라 다양한 주거형태에 맞춘 혁신적인 서비스 개발로 고객과 사회의 안전에 기여해 나가겠다""고 밝혔다.",2024-03-30 01:09:53
"SK쉴더스, HDC현대산업개발과 아파트 통합 보안 시스템 구축 협력","[아이티데일리] SK쉴더스(대표 홍원표)는 HDC현대산업개발(대표 최익훈)과 아이파크 단지 내 통합 보안 시스템 구축을 위한 협력에 나선다고 27일 밝혔다.

이번 협력은 주거침입 범죄와 스마트홈 해킹 등 주거지로 확산되는 온∙오프라인 보안 위협에 대응해 안전한 생활 환경을 조성하고자 마련됐다. 개별 세대와 단지 전체를 아우르는 맞춤형 보안 서비스의 개발과 이를 입주민용 스마트홈 서비스에 연동하는 보안 체계 구축을 목표로 한다.

이를 위해 양사는 아이파크 아파트의 시공 단계부터 정보보안, 물리보안, 개인 홈 보안을 아우르는 선제적 통합 보안 시스템을 도입할 예정이다.

먼저 SK쉴더스는 아이파크 단지의 스마트홈 시스템에 정보보안 구독 서비스 ‘사이버가드’를 적용한다. 사이버가드는 클라우드 기반의 네트워크접근통제(NAC)를 포함한 다양한 보안 기능을 제공해 월패드 해킹 등 아파트를 겨냥한 사이버 공격을 사전에 차단할 수 있다는 게 회사 측 설명이다.

물리보안 대표 브랜드인 ‘ADT캡스’의 무인경비 서비스로 치안 역량 강화에도 나선다. 단지 곳곳에 설치된 SOS 비상벨과 화재 감지기가 긴급 상황을 알리면, ADT캡스 대원이 직접 출동하거나 119 화재 신고를 신속히 지원해 입주민의 안전을 지킨다. 또한 AI CCTV가 탑재된 자율주행 순찰로봇을 도입해 단지 내 보안 사각지대를 24시간 관제해 나갈 예정이다.

이 밖에도 아이파크 입주민 전용 홈페이지를 통해 홈 보안 솔루션 ‘캡스홈’을 포함한 각종 보안 상품을 특별 할인가로 제공한다. 특히 캡스홈을 설치한 가구는 AI CCTV를 통해 현관문 앞 상황을 실시간 확인하거나, 가족 이외의 낯선 배회자가 탐지될 경우 알림 메시지를 즉시 받을 수 있다.

양사는 현행법상 아파트 관리 주체가 시공사에서 입주민 대표 위원회로 전환되는 시점에, 시공 단계부터 구축한 통합 보안 시스템의 대부분을 무상 증여할 예정이다. 또한 아이파크 분양 시 캡스홈 서비스를 기본 옵션으로 탑재하는 등 사업 협력 범위를 지속 확대해 안전한 주거보안의 표준을 만들어 나간다는 계획이다.

SK쉴더스 관계자는 “이번 업무협약은 국내 대표 주거형태인 아파트 단지의 특성에 맞춰 시공 단계부터 온∙오프라인 통합 보안 체계를 선도적으로 구축한다는 점에서 의미가 크다”며 “향후 아파트뿐만 아니라 다양한 주거형태에 맞춘 혁신적인 서비스 개발로 고객과 사회의 안전에 기여해 나가겠다”고 밝혔다.",2024-03-30 01:09:54
"SK쉴더스·HDC현대산업개발, 아파트 통합보안시스템 구축 협력","주거지로 확산되는 온·오프라인 보안위협 대응 ··· 시공단계부터 맞춤형 통합 보안 구축

[데이터넷] SK쉴더스(대표 홍원표)가 HDC현대산업개발(대표 최익훈)과 아이파크 단지 내 통합 보안 시스템 구축을 위한 협력에 나선다. 이번 협력은 주거침입 범죄와 스마트홈 해킹 등 주거지로 확산되는 온·오프라인 보안 위협에 대응, 안전한 생활 환경을 조성하기 위해 마련됐다.

개별 세대와 단지 전체를 아우르는 맞춤형 보안 서비스의 개발과 이를 입주민용 스마트홈 서비스에 연동하는 보안 체계 구축을 목표로 한다. 이를 위해 양사는 아이파크 아파트의 시공 단계부터 정보보안, 물리보안, 개인 홈 보안을 아우르는 선제적 통합 보안 시스템을 도입할 예정이다.

SK쉴더스는 아이파크 단지의 스마트홈 시스템에 정보보안 구독 서비스 ‘사이버가드’를 적용한다. 사이버가드는 클라우드 기반의 네트워크접근통제(NAC)를 포함한 다양한 보안 기능을 제공하여, 월패드 해킹 등 아파트를 겨냥한 사이버 공격을 사전에 차단할 수 있다.

ADT캡스의 무인경비 서비스로 치안 역량 강화에도 나선다. 단지에 설치된 SOS 비상벨과 화재 감지기가 긴급 상황을 알리면, ADT캡스 대원이 직접 출동하거나 119 화재 신고를 신속히 지원, 입주민의 안전을 지킨다. 또한 AI CCTV가 탑재된 자율주행 순찰로봇을 도입해 단지 내 보안 사각지대를 24시간 모니터링한다.

이 밖에도 아이파크 입주민 전용 홈페이지를 통해 홈 보안 솔루션 ‘캡스홈’을 포함한 각종 보안 상품을 특별 할인가로 제공한다. 특히 캡스홈을 설치한 가구는 AI CCTV를 통해 현관문 앞 상황을 실시간 확인하거나, 가족 이외의 낯선 배회자가 탐지될 경우 알림 메시지를 즉시 받을 수 있다.양사는 현행법상 아파트 관리 주체가 시공사에서 입주민 대표 위원회로 전환되는 시점에, 시공 단계부터 구축한 통합 보안 시스템의 대부분을 무상 증여할 예정이다. 또한 아이파크 분양 시 캡스홈 서비스를 기본 옵션으로 탑재하는 등 사업 협력 범위를 지속 확대해 안전한 주거보안 표준을 만들 계획이다.

SK쉴더스 관계자는 “이번 업무협약은 국내 대표 주거형태인 아파트 단지의 특성에 맞춰 시공 단계부터 온∙오프라인 통합 보안 체계를 선도적으로 구축한다는 점에서 의미가 크다”며 “아파트뿐 아니라 다양한 주거형태에 맞춘 혁신적인 서비스 개발로 고객과 사회의 안전에 기여해 나가겠다”고 밝혔다.

저작권자 © 데이터넷 무단전재 및 재배포 금지",2024-03-30 01:09:56
"SK쉴더스-HDC현대산업개발, 아파트 통합 보안 시스템 구축 협력","온‧오프 보안 위협 대응…맞춤형 보안 서비스 개발 공동 협력

시공 단계부터 정보·물리·홈보안 아우르는 통합 시스템 구축

[미디어펜=조우현 기자]SK쉴더스가 HDC현대산업개발과 아이파크 단지 내 통합 보안 시스템 구축을 위한 협력에 나선다고 27일 밝혔다.





이번 협력은 주거침입 범죄와 스마트홈 해킹 등 주거지로 확산되는 온‧오프라인 보안 위협에 대응해, 안전한 생활 환경을 조성하기 위해 마련됐다.





▲ SK쉴더스가 HDC현대산업개발과 아이파크 단지 내 통합 보안 시스템 구축을 위한 협력에 나선다고 27일 밝혔다. /사진=SK쉴더스 제공







개별 세대와 단지 전체를 아우르는 맞춤형 보안 서비스의 개발과 이를 입주민용 스마트홈 서비스에 연동하는 보안 체계 구축을 목표로 한다.





이를 위해 양사는 아이파크 아파트의 시공 단계부터 정보보안, 물리보안, 개인 홈 보안을 아우르는 선제적 통합 보안 시스템을 도입할 예정이다.





먼저, SK쉴더스는 아이파크 단지의 스마트홈 시스템에 정보보안 구독 서비스 ‘사이버가드’를 적용한다. 사이버가드는 클라우드 기반의 네트워크접근통제(NAC)를 포함한 다양한 보안 기능을 제공해, 월패드 해킹 등 아파트를 겨냥한 사이버 공격을 사전에 차단할 수 있다.





물리보안 대표 브랜드인 ‘ADT캡스’의 무인경비 서비스로 치안 역량 강화에도 나선다. 단지 곳곳에 설치된 SOS 비상벨과 화재 감지기가 긴급 상황을 알리면, ADT캡스 대원이 직접 출동하거나 119 화재 신고를 신속히 지원해 입주민의 안전을 지킨다.





또한 AI CCTV가 탑재된 자율주행 순찰로봇을 도입하여 단지 내 보안 사각지대를 24시간 관제해 나갈 예정이다.





이 밖에도 아이파크 입주민 전용 홈페이지를 통해 홈 보안 솔루션 ‘캡스홈’을 포함한 각종 보안 상품을 특별 할인가로 제공한다.





특히 캡스홈을 설치한 가구는 AI CCTV를 통해 현관문 앞 상황을 실시간 확인하거나, 가족 이외의 낯선 배회자가 탐지될 경우 알림 메시지를 즉시 받을 수 있다.





양사는 현행법상 아파트 관리 주체가 시공사에서 입주민 대표 위원회로 전환되는 시점에, 시공 단계부터 구축한 통합 보안 시스템의 대부분을 무상 증여할 예정이다.





또 아이파크 분양 시 캡스홈 서비스를 기본 옵션으로 탑재하는 등 사업 협력 범위를 지속 확대해 안전한 주거보안의 표준을 만들어 나갈 계획이다.





SK쉴더스 관계자는 “이번 업무협약은 국내 대표 주거형태인 아파트 단지의 특성에 맞춰 시공 단계부터 온‧오프라인 통합 보안 체계를 선도적으로 구축한다는 점에서 의미가 크다”며, “향후 아파트뿐만 아니라 다양한 주거형태에 맞춘 혁신적인 서비스 개발로 고객과 사회의 안전에 기여해 나가겠다”고 밝혔다.

[미디어펜=조우현 기자] ▶다른기사보기",2024-03-30 01:09:57
"SK쉴더스-HDC현대산업개발, 아파트 통합 보안 시스템 구축 협력","[로고=SK쉴더스xHDC현대산업개발]

[보안뉴스 이소미 기자] SK쉴더스(대표 홍원표)가 HDC현대산업개발(대표 최익훈)과 아이파크 단지 내 통합 보안 시스템 구축을 위한 협력에 나선다고 27일 밝혔다.이번 협력은 주거침입 범죄와 스마트홈 해킹 등 주거지로 확산되는 온·오프라인 보안 위협에 대응해 안전한 생활 환경 조성을 위해 마련됐다. 개별 세대와 단지 전체를 아우르는 맞춤형 보안 서비스 개발과 함께 입주민용 스마트홈 서비스에 연동하는 보안 체계 구축을 목표로 한다.이를 위해 양사는 아이파크 아파트의 시공 단계부터 △정보보안 △물리보안 △개인 홈 보안을 아우르는 선제적 통합 보안 시스템을 도입할 예정이다.먼저, SK쉴더스는 아이파크 단지의 스마트홈 시스템에 정보보안 구독 서비스 ‘사이버가드’를 적용한다. 사이버가드는 클라우드 기반의 네트워크접근통제(NAC)를 포함한 다양한 보안 기능제공을 통해 월패드 해킹 등 아파트를 겨냥한 사이버 공격을 사전에 차단할 수 있다.물리보안 대표 브랜드인 ‘ADT캡스’의 무인경비 서비스로 치안 역량 강화에도 나선다. 단지 곳곳에 설치된 SOS 비상벨과 화재 감지기가 긴급 상황을 알리면, ADT캡스 대원이 직접 출동하거나 119 화재 신고를 신속히 지원해 입주민의 안전을 지킨다. 또한 AI CCTV가 탑재된 자율주행 순찰로봇을 도입해 단지 내 보안 사각지대를 24시간 관제해 나갈 예정이다.이 밖에도 아이파크 입주민 전용 홈페이지를 통해 홈 보안 솔루션 ‘캡스홈’을 포함한 각종 보안 상품을 특별 할인가로 제공한다. 특히 캡스홈을 설치한 가구는 AI CCTV를 통해 현관문 앞 상황을 실시간 확인하거나 가족 이외의 낯선 배회자가 탐지될 경우 알림 메시지를 즉시 받을 수 있다.양사는 현행법상 아파트 관리 주체가 시공사에서 입주민 대표 위원회로 전환되는 시점에 시공 단계부터 구축한 통합보안 시스템 대부분을 무상 증여할 예정이다. 또한 아이파크 분양 시 캡스홈 서비스를 기본 옵션으로 탑재하는 등 사업 협력 범위를 지속 확대해 안전한 주거보안 표준을 만들어 나갈 계획이다.[이소미 기자( boan4@boannews.com )]

<저작권자: 보안뉴스(www.boannews.com) 무단전재-재배포금지>",2024-03-30 01:09:58
"송파구시설관리공단, 공영주차장안전점검","주민과 함께하는 공영주차장 안전점검. [공단 제공]

서울 송파구시설관리공단(이사장 황대성)은 최근 주민들과 함께 26개 공영주차장을 대상으로 현장 안전점검을 실시했다고 27일 밝혔다.

이번 해빙기 안전점검은 주민의 시선으로 주차장 현장의 문제점을 파악하여 개선하기 위해 주민참여위원들과 함께 진행했다.

특히 최근 리모델링을 실시한 통합관제센터에 주차 관제시스템을 주민들과 함께 확인하고, 안전 비상벨, 태양광 외등 소화전 형광 위치 표지판 등 주차장 안전시설에 대한 주민들 의견을 적극 반영하여 시설을 개선해 나갈 예정이다.

[전국매일신문] 서울/박창복기자

parkch@jeonmae.co.kr



저작권자 © 전국매일신문 - 전국의 생생한 뉴스를 ‘한눈에’ 무단전재 및 재배포 금지",2024-03-30 01:10:01
